"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"Everest College-Merrionette Park (Merrionette Park, IL)",For-profit,2015,772,520,67%,675,87%,658,85%,1,2,558,78,0,103,19,11,0,2014,2014
"Ohio Hi Point Joint Vocational School District (Bellefontaine, OH)",Public,2014,770,95,12%,377,49%,79,10%,0,0,40,38,0,665,1,26,0,2013,2013
"Sanford-Brown Institute-Cranston (Cranston, RI)",For-profit,2014,768,160,21%,696,91%,267,35%,6,16,47,183,1,244,14,257,0,2013,2013
"ITT Technical Institute-Albuquerque (Albuquerque, NM)",For-profit,2016,768,327,81%,313,41%,505,66%,112,10,30,321,0,236,32,27,0,2015,2015
"Corcoran College of Art and Design (Washington, DC)",Private nonprofit,2015,767,90,28%,584,76%,219,29%,0,52,86,57,10,444,14,55,49,2014,2014
"Virginia College-Columbia (Columbia, SC)",For-profit,2018,767,511,67%,659,86%,639,83%,1,2,614,16,1,40,5,88,0,2017,2017
"ITT Technical Institute-Lake Mary (Lake Mary, FL)",For-profit,2016,766,239,63%,311,41%,415,54%,5,14,202,162,0,318,32,33,0,2015,2015
"ITT Technical Institute-Murray (Murray, UT)",For-profit,2016,766,307,74%,138,18%,226,30%,23,44,34,97,4,515,24,25,0,2015,2015
"Everest College-Skokie (Skokie, IL)",For-profit,2015,763,484,63%,645,85%,603,79%,1,36,143,392,1,153,30,7,0,2014,2014
"ITT Technical Institute-Greenfield (Greenfield, WI)",For-profit,2016,762,320,76%,203,27%,399,52%,9,29,251,92,2,305,16,57,1,2015,2015
"ITT Technical Institute-Seattle (Seattle, WA)",For-profit,2016,760,341,82%,167,22%,367,48%,14,103,134,72,4,357,40,36,0,2015,2015
"ITT Technical Institute-Lexington (Lexington, KY)",For-profit,2016,755,296,85%,357,47%,243,32%,3,7,197,15,1,497,20,15,0,2015,2015
"Argosy University-Inland Empire (Ontario, CA)",For-profit,2018,754,199,65%,505,67%,628,83%,7,25,238,345,12,100,1,21,5,2017,2017
"Westwood College-Northlake (Atlanta, GA)",For-profit,2016,754,284,76%,459,61%,675,90%,2,15,575,62,1,44,20,35,0,2015,2015
"Westwood College-Chicago Loop (Chicago, IL)",For-profit,2016,752,314,82%,448,60%,452,60%,1,8,339,73,0,28,31,272,0,2015,2015
"Star Career Academy-New York (New York, NY)",For-profit,2016,750,775,66%,512,68%,717,96%,4,12,370,316,0,26,15,7,0,2016,2015
"Lincoln Technical Institute-Center City Philadelphia (Philadelphia, PA)",For-profit,2017,750,628,84%,651,87%,713,95%,1,19,593,64,1,31,35,5,1,2016,2016
"Illinois School of Health Careers-Chicago Campus (Chicago, IL)",For-profit,2016,749,741,69%,688,92%,586,78%,5,1,373,194,1,17,12,145,1,2014,2013
"Brightwood College-Corpus Christi (Corpus Christi, TX)",For-profit,2018,749,542,72%,669,89%,644,86%,0,8,48,572,1,93,15,12,0,2017,2017
"Westwood College-South Bay (Torrance, CA)",For-profit,2016,749,357,81%,407,54%,572,76%,1,27,179,340,13,51,12,126,0,2015,2015
"Miller-Motte College-Greenville (Greenville, NC)",For-profit,2018,748,209,64%,533,71%,598,80%,3,1,554,30,1,134,9,16,0,2017,2017
"The Art Institute of Tennessee-Nashville (Nashville, TN)",For-profit,2018,745,368,63%,356,48%,259,35%,5,8,156,63,4,315,23,171,0,2017,2017
"ITT Technical Institute-Marlton (Marlton, NJ)",For-profit,2016,745,258,67%,126,17%,426,57%,3,19,251,115,1,283,37,36,0,2015,2015
"ITT Technical Institute-Kennesaw (Kennesaw, GA)",For-profit,2016,744,298,78%,194,26%,441,59%,3,14,337,68,0,278,19,25,0,2015,2015
"MedTech College-Greenwood Campus (Greenwood, IN)",For-profit,2016,738,524,71%,690,93%,120,16%,17,11,70,11,0,549,11,69,0,2015,2015
"ITT Technical Institute-Dearborn (Dearborn, MI)",For-profit,2016,736,297,88%,210,29%,541,74%,4,7,479,30,0,161,21,34,0,2015,2015
"Everest Institute-Pittsburgh (Pittsburgh, PA)",Private nonprofit,2016,735,410,78%,558,76%,542,74%,4,11,458,7,1,184,61,9,0,2015,2015
"ITT Technical Institute-Hialeah (Hialeah, FL)",For-profit,2016,735,267,80%,205,28%,677,92%,2,7,215,436,0,35,17,22,1,2015,2015
"Anthem College-Orlando (Orlando, FL)",For-profit,2014,726,291,79%,532,73%,598,82%,2,6,202,337,2,126,49,2,0,2013,2013
"Marinello Schools of Beauty-Meriden (Meriden, CT)",For-profit,2016,724,503,69%,620,86%,469,65%,15,10,217,226,0,221,1,34,0,2015,2015
"ITT Technical Institute-Corona (Corona, CA)",For-profit,2016,723,343,77%,115,16%,465,64%,13,39,73,302,1,231,37,27,0,2015,2015
"Everest College-Santa Ana (Santa Ana, CA)",For-profit,2015,718,526,73%,559,78%,605,84%,6,38,16,500,14,78,31,35,0,2014,2014
"ITT Technical Institute-Hilliard (Hilliard, OH)",For-profit,2016,711,285,74%,305,43%,212,30%,4,11,157,18,0,476,22,23,0,2015,2015
"ITT Technical Institute-Fort Myers (Fort Myers, FL)",For-profit,2016,711,269,75%,300,42%,308,43%,2,9,130,150,0,376,17,27,0,2015,2015
"ITT Technical Institute-Omaha (Omaha, NE)",For-profit,2016,709,304,77%,242,34%,265,37%,4,9,172,58,0,419,22,25,0,2015,2015
"Globe Institute of Technology (New York, NY)",For-profit,2016,708,378,77%,221,31%,562,79%,1,22,362,177,0,75,0,2,69,2015,2015
"ITT Technical Institute-Henderson (Henderson, NV)",For-profit,2016,708,321,78%,169,24%,409,58%,14,82,104,142,7,281,60,18,0,2015,2015
"Westwood College-Arlington Ballston (Arlington, VA)",For-profit,2016,705,258,75%,376,53%,616,87%,5,3,510,73,0,24,25,65,0,2015,2015
"Virginia College-Jackson (Jackson, MS)",For-profit,2018,704,481,68%,551,78%,587,83%,1,2,549,18,0,49,17,68,0,2017,2017
"ITT Technical Institute-Canton (Canton, MI)",For-profit,2016,703,304,73%,296,42%,312,44%,7,12,258,16,0,369,19,22,0,2015,2015
"ITT Technical Institute-Webster (Webster, TX)",For-profit,2016,702,274,72%,192,27%,444,63%,6,9,175,234,0,240,20,18,0,2015,2015
"Westwood College-Denver North (Denver, CO)",For-profit,2016,700,238,70%,317,45%,271,39%,6,11,26,216,0,145,12,284,0,2015,2015
"Virginia College-Macon (Macon, GA)",For-profit,2018,698,519,74%,582,83%,595,85%,2,1,550,21,1,46,20,57,0,2017,2017
"Everest Institute-Greenspoint (Houston, TX)",Private nonprofit,2018,696,487,70%,610,88%,597,86%,1,4,249,322,3,88,18,11,0,2016,2016
"Heritage College-Columbus (Columbus, OH)",For-profit,2016,696,536,67%,575,83%,362,52%,1,7,294,21,1,305,38,29,0,2016,2015
"Virginia College-Greensboro (Greensboro, NC)",For-profit,2018,695,497,72%,582,84%,508,73%,1,5,457,30,2,79,13,108,0,2017,2017
"Le Cordon Bleu College of Culinary Arts-Pasadena (Pasadena, CA)",For-profit,2017,693,755,50%,327,47%,251,36%,8,151,45,40,4,93,3,349,0,2017,2016
"Marinello Schools of Beauty-Burbank (Burbank, CA)",For-profit,2016,693,548,79%,666,96%,439,63%,2,18,111,293,3,252,12,1,1,2015,2015
"MedTech College-Lexington Campus (Lexington, KY)",For-profit,2016,687,484,70%,624,91%,200,29%,0,2,169,21,0,481,8,6,0,2015,2015
"Virginia College-Charleston (North Charleston, SC)",For-profit,2018,686,475,69%,614,90%,561,82%,0,4,521,21,0,92,15,33,0,2017,2017
"Lincoln College of New England-Southington (Southington, CT)",For-profit,2018,685,297,55%,560,82%,301,44%,4,11,133,102,0,336,51,48,0,2017,2017
"Dade Medical College-Miami Lakes (Miami Lakes, FL)",For-profit,2015,685,701,87%,557,81%,676,99%,2,4,180,489,0,6,1,2,1,2015,2014
"Everest College-West Los Angeles (Los Angeles, CA)",For-profit,2015,683,334,79%,497,73%,599,88%,3,10,223,319,4,39,40,45,0,2014,2014
"ITT Technical Institute-Columbia (Columbia, SC)",For-profit,2016,682,216,69%,201,29%,521,76%,2,5,476,20,0,145,18,16,0,2015,2015
"Anthem College-Sacramento (Sacramento, CA)",For-profit,2014,682,254,77%,517,76%,441,65%,4,99,130,127,1,234,80,7,0,2013,2013
"Wyotech-Blairsville (Blairsville, PA)",Private nonprofit,2018,681,425,62%,41,6%,125,18%,5,1,61,37,2,507,19,49,0,2017,2017
"ITT Technical Institute-Norwood (Norwood, MA)",For-profit,2016,676,322,71%,86,13%,367,54%,4,19,223,103,0,273,18,36,0,2015,2015
"ITT Technical Institute-Indianapolis East (Indianapolis, IN)",For-profit,2016,674,239,83%,190,28%,359,53%,3,5,322,13,1,294,15,21,0,2015,2015
"Twin Rivers Adult School (North Highlands, CA)",Public,2014,669,420,63%,273,41%,317,47%,7,47,234,20,9,314,0,38,0,2013,2013
"Anthem Career College-Nashville (Nashville, TN)",For-profit,2014,669,338,77%,536,80%,358,54%,1,6,272,44,0,311,35,0,0,2013,2013
"ITT Technical Institute-Clovis (Clovis, CA)",For-profit,2016,667,307,78%,145,22%,413,62%,24,38,42,279,0,191,30,63,0,2015,2015
"ITT Technical Institute-Swartz Creek (Swartz Creek, MI)",For-profit,2016,663,307,83%,153,23%,204,31%,6,3,170,16,0,434,9,25,0,2015,2015
"ITT Technical Institute-Culver City (Culver City, CA)",For-profit,2015,660,260,82%,90,14%,556,84%,6,22,229,282,0,73,17,31,0,2014,2014
"Everest Institute-Chelsea (Chelsea, MA)",For-profit,2015,658,467,71%,548,83%,454,69%,2,17,116,286,3,190,30,14,0,2014,2014
"ITT Technical Institute-Getzville (Getzville, NY)",For-profit,2016,653,269,83%,149,23%,275,42%,12,6,210,25,0,362,22,16,0,2015,2015
"Anamarc College-El Paso Central (El Paso, TX)",For-profit,2014,650,400,62%,513,79%,617,95%,2,1,22,592,0,27,0,6,0,2013,2013
"Virginia College-Lubbock (Lubbock, TX)",For-profit,2018,648,465,72%,551,85%,506,78%,2,1,106,388,0,115,9,27,0,2017,2017
"The Illinois Institute of Art-Schaumburg (Schaumburg, IL)",For-profit,2018,643,279,54%,317,49%,292,45%,4,29,89,163,7,295,0,51,5,2017,2017
"ITT Technical Institute-Phoenix West (Phoenix, AZ)",For-profit,2016,643,231,72%,162,25%,416,65%,22,18,92,256,2,206,26,21,0,2015,2015
"Park West Barber School (Durham, NC)",For-profit,2016,641,471,73%,101,16%,639,100%,0,0,632,5,0,2,2,0,0,2015,2015
"ITT Technical Institute-Strongsville (Strongsville, OH)",For-profit,2016,638,300,76%,271,42%,141,22%,2,4,100,27,0,405,8,92,0,2015,2015
"Miller-Motte Technical College-Roanoke (Roanoke, VA)",For-profit,2018,635,185,80%,561,88%,299,47%,1,10,249,14,0,321,25,15,0,2017,2017
"Heritage College-Kansas City (Kansas City, MO)",For-profit,2016,634,444,62%,532,84%,292,46%,7,11,217,34,0,319,23,23,0,2016,2015
"Marinello Schools of Beauty-Las Vegas (Las Vegas, NV)",For-profit,2016,633,449,71%,584,92%,494,78%,8,18,238,224,4,137,2,2,0,2015,2015
"Brightwood College-Houston (Houston, TX)",For-profit,2018,632,421,67%,573,91%,522,83%,2,9,226,276,0,80,9,30,0,2017,2017
"Virginia College-Greenville (Greenville, SC)",For-profit,2018,632,431,68%,528,84%,369,58%,2,2,326,26,0,161,13,102,0,2017,2017
"ITT Technical Institute-Levittown (Levittown, PA)",For-profit,2016,630,289,82%,141,22%,324,51%,3,10,181,101,0,289,29,17,0,2015,2015
"Heritage College-Denver (Denver, CO)",For-profit,2016,628,439,63%,502,80%,369,59%,47,10,45,234,2,246,31,13,0,2016,2015
"ITT Technical Institute-West Palm Beach (West Palm Beach, FL)",For-profit,2016,628,262,76%,205,33%,433,69%,2,9,277,126,0,174,19,21,0,2015,2015
"ITT Technical Institute-Tallahassee (Tallahassee, FL)",For-profit,2016,628,301,76%,373,59%,449,71%,5,1,410,18,1,160,14,19,0,2015,2015
"ITT Technical Institute-Hanover (Hanover, MD)",For-profit,2016,622,223,65%,135,22%,435,70%,0,30,343,47,0,161,15,26,0,2015,2015
"ITT Technical Institute-Madison (Madison, AL)",For-profit,2016,620,258,75%,289,47%,284,46%,3,6,243,20,1,326,11,10,0,2015,2015
"Altierus Career College-Tacoma (Tacoma, WA)",Private nonprofit,2018,619,192,50%,517,84%,289,47%,10,41,87,51,42,256,58,74,0,2017,2017
"ITT Technical Institute-Charlotte South (Charlotte, NC)",For-profit,2016,619,251,79%,163,26%,461,74%,2,13,374,58,0,140,14,18,0,2015,2015
"Argosy University-Denver (Denver, CO)",For-profit,2018,618,69,29%,447,72%,203,33%,9,15,73,102,4,399,0,9,7,2017,2017
"Everest Institute-Kendall (Miami, FL)",For-profit,2015,616,305,66%,445,72%,515,84%,3,10,98,391,1,46,12,55,0,2014,2014
"Everest Institute-Kalamazoo (Kalamazoo, MI)",For-profit,2015,615,398,65%,500,81%,179,29%,6,2,108,34,0,377,29,59,0,2014,2014
"Anthem College-Portland (Beaverton, OR)",For-profit,2014,614,209,69%,490,80%,282,46%,7,32,21,171,11,330,40,2,0,2013,2013
"Everest College-Salt Lake City (West Valley City, UT)",For-profit,2015,613,284,70%,488,80%,288,47%,32,9,29,151,48,277,19,48,0,2014,2014
"ITT Technical Institute-North Charleston (North Charleston, SC)",For-profit,2016,611,222,82%,139,23%,411,67%,5,6,371,19,0,181,10,19,0,2015,2015
"Hickey College (Saint Louis, MO)",For-profit,2018,610,253,66%,439,72%,145,24%,3,5,83,20,3,459,31,5,1,2017,2017
"Virginia College-Chattanooga (Chattanooga, TN)",For-profit,2018,605,419,69%,492,81%,286,47%,1,1,241,30,0,224,13,95,0,2017,2017
"Le Cordon Bleu College of Culinary Arts-Scottsdale (Scottsdale, AZ)",For-profit,2017,604,853,60%,330,55%,118,20%,6,9,45,39,1,85,18,401,0,2017,2016
"ITT Technical Institute-Plymouth Meeting (Plymouth Meeting, PA)",For-profit,2016,603,208,76%,172,29%,385,64%,6,12,308,45,1,199,13,19,0,2015,2015
"Everest Institute-Jonesboro (Jonesboro, GA)",Private nonprofit,2016,601,422,70%,526,88%,513,85%,0,1,466,24,1,65,21,21,2,2015,2015
"Heritage College-Wichita (Wichita, KS)",For-profit,2016,601,406,65%,509,85%,204,34%,0,7,74,93,1,391,29,6,0,2016,2015
"Brooks Institute (Ventura, CA)",For-profit,2016,598,159,38%,277,46%,130,22%,2,23,24,69,3,179,9,289,0,2015,2015
"Everest College-Mesa (Mesa, AZ)",For-profit,2015,598,273,74%,458,77%,303,51%,49,3,55,154,6,232,36,63,0,2014,2014
"Altierus Career College-Atlanta West (Atlanta, GA)",Private nonprofit,2018,595,420,71%,532,89%,561,94%,1,1,513,38,3,15,5,19,0,2017,2017
"ITT Technical Institute-Merrillville (Merrillville, IN)",For-profit,2016,594,290,76%,334,56%,352,59%,1,0,268,73,0,204,10,38,0,2015,2015
"ITT Technical Institute-Columbus (Columbus, OH)",For-profit,2016,591,271,81%,163,28%,340,58%,3,5,282,19,0,234,31,17,0,2015,2015
"Westwood College-O'Hare Airport (Chicago, IL)",For-profit,2016,589,228,73%,312,53%,311,53%,3,13,51,227,1,87,16,191,0,2015,2015
"Brightwood Career Institute-Broomall (Broomall, PA)",For-profit,2018,589,428,73%,281,48%,359,61%,2,10,317,22,1,184,7,46,0,2017,2017
"Virginia College-Biloxi (Biloxi, MS)",For-profit,2018,587,403,69%,444,76%,354,60%,0,4,319,20,0,160,11,73,0,2017,2017
"ITT Technical Institute-Dayton (Dayton, OH)",For-profit,2016,586,249,81%,229,39%,205,35%,7,8,160,4,2,364,24,17,0,2015,2015
"Brightwood College-Dallas (Dallas, TX)",For-profit,2018,584,315,54%,489,84%,457,78%,3,17,152,278,0,91,7,36,0,2017,2017
"Westwood College-River Oaks (Calumet City, IL)",For-profit,2016,581,202,75%,381,66%,446,77%,6,0,365,63,0,57,12,78,0,2015,2015
"New York Career Institute (New York, NY)",For-profit,2017,580,227,52%,518,89%,278,48%,0,16,160,97,0,160,5,141,1,2016,2016
"Vatterott College-Sunset Hills (Sunset Hills, MO)",For-profit,2018,580,280,85%,276,48%,152,26%,5,3,129,5,1,379,9,49,0,2017,2017
"Brightwood College-Sacramento (Sacramento, CA)",For-profit,2018,575,434,75%,494,86%,370,64%,6,47,89,205,12,88,11,117,0,2017,2017
"Altierus Career College-Orange Park (Orange Park, FL)",Private nonprofit,2018,573,247,70%,351,61%,320,56%,3,9,228,45,4,203,31,50,0,2017,2017
"Altierus Career College-Houston Hobby (Houston, TX)",Private nonprofit,2018,572,402,70%,519,91%,531,93%,0,2,162,357,1,40,9,1,0,2017,2017
"ITT Technical Institute-Wyoming (Wyoming, MI)",For-profit,2016,572,228,73%,138,24%,196,34%,6,6,111,50,0,361,23,15,0,2015,2015
"Everest College-Renton (Renton, WA)",Private nonprofit,2016,571,337,59%,499,87%,365,64%,11,84,118,77,41,153,34,53,0,2015,2015
"Everest Institute-Eagan (Eagan, MN)",For-profit,2015,564,353,63%,479,85%,357,63%,9,61,202,50,3,164,32,43,0,2014,2014
"DeVry University-Minnesota (Edina, MN)",For-profit,2015,560,131,56%,257,46%,164,29%,6,40,93,25,0,341,0,44,11,2015,2015
"Virginia College-Florence (Florence, SC)",For-profit,2018,560,400,71%,522,93%,417,74%,1,0,400,6,0,85,10,58,0,2017,2017
"Clearwater Christian College (Clearwater, FL)",Private nonprofit,2015,557,245,48%,270,48%,109,20%,0,7,30,64,0,439,8,3,6,2014,2014
"Morrison University (Reno, NV)",For-profit,2014,554,185,63%,266,48%,211,38%,17,33,34,75,1,342,51,0,1,2013,2013
"Prism Career Institute-Upper Darby (Upper Darby, PA)",For-profit,2016,553,207,37%,543,98%,551,100%,0,0,548,3,0,1,0,1,0,2015,2015
"Everest College-San Francisco (San Francisco, CA)",For-profit,2014,552,368,67%,446,81%,494,89%,2,128,142,169,19,45,34,13,0,2013,2013
"Everest College-Burr Ridge (Burr Ridge, IL)",For-profit,2015,549,359,65%,480,87%,322,59%,1,10,96,191,4,201,20,26,0,2014,2014
"Brightwood College-Charlotte (Charlotte, NC)",For-profit,2018,549,382,70%,487,89%,472,86%,5,5,356,99,0,38,7,39,0,2017,2017
"American Career College-Lynwood (Lynwood, CA)",For-profit,2018,549,402,73%,486,89%,525,96%,2,18,112,372,7,21,14,3,0,2017,2017
"Virginia Intermont College (Bristol, VA)",Private nonprofit,2014,548,251,51%,374,68%,63,11%,6,2,41,12,0,449,2,25,11,2013,2013
"Everest College-Dallas (Dallas, TX)",Private nonprofit,2017,547,323,78%,425,78%,460,84%,2,3,274,160,0,65,21,22,0,2016,2016
"Sage College (Moreno Valley, CA)",For-profit,2016,544,271,67%,511,94%,249,46%,1,15,26,152,5,291,50,4,0,2016,2015
"The Art Institute of Charleston (Charleston, SC)",For-profit,2018,544,272,69%,329,60%,258,47%,5,7,194,36,0,190,16,95,1,2017,2017
"Marinello Schools of Beauty-Topeka (Topeka, KS)",For-profit,2016,542,415,75%,527,97%,260,48%,8,14,152,71,1,253,14,28,1,2015,2014
"Virginia College-Fort Pierce (Fort Pierce, FL)",For-profit,2018,539,407,76%,442,82%,332,62%,2,2,266,54,0,116,8,91,0,2017,2017
"Brightwood Career Institute-Pittsburgh (Pittsburgh, PA)",For-profit,2018,537,385,72%,363,68%,300,56%,0,7,273,16,1,150,3,87,0,2017,2017
"ITT Technical Institute-Knoxville (Knoxville, TN)",For-profit,2016,536,251,85%,120,22%,130,24%,4,4,97,12,0,396,13,10,0,2015,2015
"ITT Technical Institute-Oklahoma City (Oklahoma City, OK)",For-profit,2016,534,236,72%,248,46%,252,47%,29,18,140,45,0,260,20,22,0,2015,2015
"Brightwood College-Towson (Towson, MD)",For-profit,2018,532,399,75%,402,76%,413,78%,0,3,374,22,0,72,14,47,0,2017,2017
"Brightwood College-Brownsville (Brownsville, TX)",For-profit,2018,531,409,77%,286,54%,494,93%,0,0,3,491,0,9,0,28,0,2017,2017
"Pennsylvania School of Business (Allentown, PA)",For-profit,2014,530,272,97%,392,74%,431,81%,1,1,142,248,0,98,39,1,0,2013,2012
"Vatterott College-Kansas City (Kansas City, MO)",For-profit,2018,528,353,82%,127,24%,164,31%,5,1,120,23,3,347,12,17,0,2017,2017
"Anthem Institute-Cherry Hill (Cherry Hill, NJ)",For-profit,2014,528,175,83%,386,73%,390,74%,1,7,213,128,0,138,41,0,0,2013,2013
"Sanford-Brown College-Middleburg Heights (Middleburg Heights, OH)",For-profit,2015,527,318,64%,462,88%,33,6%,1,3,20,7,0,63,2,431,0,2014,2014
"ITT Technical Institute-Kansas City (Kansas City, MO)",For-profit,2016,526,183,79%,140,27%,215,41%,6,5,162,21,2,290,19,21,0,2015,2015
"ITT Technical Institute-Wilmington (Wilmington, MA)",For-profit,2016,524,239,69%,58,11%,244,47%,5,30,66,138,0,256,5,24,0,2015,2015
"Argosy University-The Art Institute of California-Los Angeles (Santa Monica, CA)",For-profit,2017,519,654,63%,209,40%,299,58%,1,19,56,204,4,79,15,94,47,2017,2016
"Star Career AcademyBrick (Brick, NJ)",For-profit,2016,518,434,71%,444,86%,207,40%,2,7,106,81,0,305,11,6,0,2016,2015
"ITT Technical Institute-Cary (Cary, NC)",For-profit,2015,518,227,80%,125,24%,331,64%,11,11,249,47,0,165,13,22,0,2014,2014
"ITT Technical Institute-Greenville (Greenville, SC)",For-profit,2016,514,218,81%,115,22%,244,47%,3,5,186,32,0,266,18,4,0,2015,2015
"Carrington College California-Antioch (Antioch, CA)",For-profit,2014,513,369,72%,426,83%,346,67%,2,18,138,155,10,152,23,12,3,2013,2013
"Sullivan and Cogliano Training Center (Miami Gardens, FL)",For-profit,2018,511,256,50%,458,90%,321,63%,5,2,152,154,0,73,8,117,0,2017,2017
"ITT Technical Institute-Little Rock (Little Rock, AR)",For-profit,2016,511,215,79%,131,26%,259,51%,10,3,212,19,0,244,15,8,0,2015,2015
"Westwood College-Annandale (Annandale, VA)",For-profit,2016,509,172,64%,245,48%,354,70%,2,17,208,107,2,52,18,103,0,2015,2015
"ITT Technical Institute-Durham (Durham, NC)",For-profit,2016,503,160,74%,164,33%,414,82%,3,6,363,31,0,76,11,13,0,2015,2015
"Grace University (Omaha, NE)",Private nonprofit,2018,501,153,49%,296,59%,127,25%,7,12,60,37,2,370,9,0,4,2017,2017
"Star Career Academy-Egg Harbor (Egg Harbor Township, NJ)",For-profit,2016,501,337,71%,379,76%,337,67%,2,15,192,111,1,133,16,31,0,2016,2015
"Fortis Institute-Baltimore (Baltimore, MD)",For-profit,2018,500,361,72%,440,88%,467,93%,1,11,441,9,0,29,5,4,0,2017,2017
"Virginia College-Spartanburg (Spartanburg, SC)",For-profit,2018,499,331,66%,425,85%,257,52%,1,7,204,30,0,148,15,94,0,2017,2017
"Everest College-Aurora (Aurora, CO)",Private nonprofit,2016,498,231,70%,390,78%,326,65%,6,14,131,115,4,116,56,56,0,2015,2015
"ITT Technical Institute-Oxnard (Oxnard, CA)",For-profit,2016,495,209,72%,118,24%,317,64%,3,39,40,218,1,160,16,18,0,2015,2015
"Vatterott College-Fairview Heights (Fairview Heights, IL)",For-profit,2018,493,307,89%,337,68%,243,49%,1,2,221,4,0,244,15,6,0,2017,2017
"Le Cordon Bleu College of Culinary Arts-Atlanta (Tucker, GA)",For-profit,2017,489,683,61%,276,56%,213,44%,2,6,169,30,0,33,6,243,0,2017,2016
"ITT Technical Institute-Everett (Everett, WA)",For-profit,2016,489,182,65%,113,23%,158,32%,10,44,37,46,1,312,20,19,0,2015,2015
"ITT Technical Institute-Pensacola (Pensacola, FL)",For-profit,2016,488,188,82%,101,21%,215,44%,7,10,161,23,1,265,13,8,0,2015,2015
"Arizona Summit Law School (Phoenix, AZ)",For-profit,2018,486,,NA,262,54%,222,46%,5,21,72,61,0,236,63,22,6,2017,NA
"Brown Mackie College-North Canton (Canton, OH)",For-profit,2017,485,243,75%,392,81%,106,22%,1,1,97,6,1,367,0,12,0,2016,2016
"Jones College-Jacksonville (Jacksonville, FL)",Private nonprofit,2017,483,283,85%,390,81%,407,84%,0,1,376,18,0,69,12,6,1,2016,2016
"Brensten Education (Waukesha, WI)",For-profit,2016,482,319,50%,207,43%,432,90%,1,2,389,17,2,50,21,0,0,2015,2014
"Argosy University-Nashville (Nashville, TN)",For-profit,2018,481,89,66%,358,74%,279,58%,3,3,253,19,1,192,0,7,3,2017,2017
"ITT Technical Institute-DeSoto (DeSoto, TX)",For-profit,2016,481,201,76%,151,31%,423,88%,2,1,324,91,0,52,5,6,0,2015,2015
"ITT Technical Institute-Oak Brook (Oak Brook, IL)",For-profit,2016,480,238,78%,115,24%,365,76%,0,14,187,147,0,103,17,12,0,2015,2015
"Platt College-Central OKC (Oklahoma City, OK)",For-profit,2018,479,371,77%,430,90%,324,68%,25,7,197,72,2,153,21,2,0,2017,2017
"ITT Technical Institute-Phoenix (Phoenix, AZ)",For-profit,2016,478,186,77%,142,30%,257,54%,32,16,80,111,0,200,18,21,0,2015,2015
"Everest College-San Jose (San Jose, CA)",For-profit,2014,475,301,63%,415,87%,408,86%,5,38,31,276,21,65,37,2,0,2013,2013
"ITT Technical Institute-Boise (Boise, ID)",For-profit,2017,475,201,73%,222,47%,94,20%,8,13,18,47,1,368,7,13,0,2015,2015
"Brightwood College-Riverside (Riverside, CA)",For-profit,2018,474,314,66%,320,68%,383,81%,1,11,60,305,6,69,0,22,0,2017,2017
"Everest Institute-Brighton (Brighton, MA)",For-profit,2015,474,348,73%,412,87%,342,72%,0,12,192,130,0,52,8,80,0,2014,2014
"ITT Technical Institute-Spokane Valley (Spokane Valley, WA)",For-profit,2016,472,253,86%,112,24%,85,18%,16,10,21,18,0,379,20,8,0,2015,2015
"ITT Technical Institute-San Antonio East (San Antonio, TX)",For-profit,2016,470,157,69%,115,24%,331,70%,7,11,96,196,0,112,21,27,0,2015,2015
"ITT Technical Institute-Aurora (Aurora, CO)",For-profit,2016,469,157,68%,98,21%,228,49%,7,11,113,72,1,222,24,19,0,2015,2015
"Brightwood College-Arlington (Arlington, TX)",For-profit,2018,468,320,68%,363,78%,352,75%,1,11,183,149,2,85,6,31,0,2017,2017
"ITT Technical Institute-Fort Wayne (Fort Wayne, IN)",For-profit,2017,468,167,76%,218,47%,112,24%,1,5,76,17,0,351,13,5,0,2015,2015
"ITT Technical Institute-Arnold (Arnold, MO)",For-profit,2016,466,201,78%,113,24%,70,15%,2,1,47,8,0,389,12,7,0,2015,2015
"Anthem College-Irving (Irving, TX)",For-profit,2014,463,191,66%,384,83%,355,77%,2,10,142,169,1,106,31,2,0,2013,2013
"Heritage Institute-Jacksonville (Jacksonville, FL)",For-profit,2016,462,254,58%,360,78%,233,50%,0,4,147,55,3,152,24,76,1,2016,2015
